street,suburb,government_area,market,country,country_code,is_location_exact,type,Latitude,Longitude
Pyrmont,Pyrmont,Sydney,Sydney,Australia,AU,True,Point,-33.8708,151.1971
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,True,Point,-23.013440373155003,-43.31345955372205
Barcelona,Guinardó,el Guinardó,Barcelona,Spain,ES,True,Point,41.417,2.16896
İstanbul,Beşiktaş,Besiktas,Istanbul,Turkey,TR,True,Point,41.06255,29.01941
Porto,Porto,Lordelo do Ouro e Massarelos,Porto,Portugal,PT,False,Point,41.1555,-8.6495
Rio,Catete,Catete,Rio De Janeiro,Brazil,BR,True,Point,-22.927577252718976,-43.177426080553545
Lahaina,Westside,Lahaina,Maui,United States,US,False,Point,21.00432,-156.64867
Porto,Porto,Campanhã,Porto,Portugal,PT,True,Point,41.1541,-8.59097
Rio,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,False,Point,-23.001941778015905,-43.32473578931987
Mona Vale,Sydney,Pittwater,Sydney,Australia,AU,True,Point,-33.6907,151.30735
Hong Kong,Causeway Bay,Wan Chai,Hong Kong,Hong Kong,HK,True,Point,22.282,114.1918
Oliveira do Douro,Porto,Oliveira do Douro,Porto,Portugal,PT,True,Point,41.11846,-8.5906
Mont-Royal,Mont-Royal,Mont-Royal,Montreal,Canada,CA,True,Point,45.5169,-73.65637
Barcelona,El Gòtic,el Barri Gòtic,Barcelona,Spain,ES,False,Point,41.3843,2.17534
Rio de Janeiro,Rio De Janeiro,Taquara,Rio De Janeiro,Brazil,BR,True,Point,-22.9113895146494,-43.381851403866335
Porto,Porto,Cedofeita,Porto,Portugal,PT,False,Point,41.14228,-8.61492
Lahaina,Maui,Lahaina,Maui,United States,US,True,Point,20.93689,-156.69171
Montréal,Lachine,Lachine,Montreal,Canada,CA,True,Point,45.44423,-73.69275
Rio de Janeiro,Barra da Tijuca,Jacarepaguá,Rio De Janeiro,Brazil,BR,False,Point,-22.96986618034955,-43.38976309270332
Honolulu,Oʻahu,Primary Urban Center,Oahu,United States,US,True,Point,21.2743,-157.8238
Barcelona,La Sagrera,la Sagrera,Barcelona,Spain,ES,False,Point,41.42083,2.19001
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,True,Point,45.53617,-73.57605
Montreal,Old Montreal,Ville-Marie,Montreal,Canada,CA,False,Point,45.50488,-73.55591
Captain Cook,Island of Hawaiʻi,South Kona,The Big Island,United States,US,True,Point,19.31372,-155.88241
Hong Kong,Jordan,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.30635,114.1714
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.30547,114.17296
Şişli,Şişli,Sisli,Istanbul,Turkey,TR,False,Point,41.0457,28.9814
Honolulu,Ala Moana/Kakaako,Primary Urban Center,Oahu,United States,US,True,Point,21.29013,-157.83768
Waialua,North Shore,North Shore Oahu,Oahu,United States,US,True,Point,21.57105,-158.11176
Hong Kong ,Wan Chai District,Wan Chai,Hong Kong,Hong Kong,HK,True,Point,22.27983,114.18976
Ocean view,Island of Hawaiʻi,Kau,The Big Island,United States,US,True,Point,19.13933,-155.77167
Kihei,Kihei/Wailea,Kihei-Makena,Maui,United States,US,True,Point,20.76445,-156.4587
Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,Barcelona,Spain,ES,True,Point,41.39294,2.15128
Porto,Porto,Cedofeita,Porto,Portugal,PT,True,Point,41.14739,-8.61825
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,False,Point,-22.971126460836576,-43.18949500971648
Captain Cook,Island of Hawaiʻi,South Kona,The Big Island,United States,US,True,Point,19.39935,-155.88096
faith,Sultanahmet,Fatih,Istanbul,Turkey,TR,False,Point,41.00493,28.97362
Hong Kong,Sheung Wan,Central & Western,Hong Kong,Hong Kong,HK,True,Point,22.28572,114.15234
Montréal,Downtown Montreal,Ville-Marie,Montreal,Canada,CA,True,Point,45.52406,-73.56223
Honolulu,Oʻahu,Primary Urban Center,Oahu,United States,US,True,Point,21.27638,-157.82357
Honolulu,Honolulu,Primary Urban Center,Oahu,United States,US,True,Point,21.27472,-157.82463
Lahaina,Westside,Lahaina,Maui,United States,US,True,Point,20.971,-156.67924
Lahaina,Maui,Lahaina,Maui,United States,US,True,Point,20.93999,-156.69268
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,True,Point,45.52143,-73.58359
Kadıköy,Kadıköy,Kadikoy,Istanbul,Turkey,TR,False,Point,40.9939,29.03163
Kailua-Kona,Kailua/Kona,North Kona,The Big Island,United States,US,False,Point,19.64393,-155.99708
Beyoğlu,Beyoglu,Beyoglu,Istanbul,Turkey,TR,False,Point,41.03165,28.97776
Fatih ,Sultanahmet,Fatih,Istanbul,Turkey,TR,False,Point,41.00353,28.97325
Istanbul,Sultanahmet,Fatih,Istanbul,Turkey,TR,False,Point,41.00339,28.96508
Montreal,Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,True,Point,45.51664,-73.58256
Brooklyn,Brooklyn,Windsor Terrace,New York,United States,US,True,Point,40.64933,-73.97227
Hauula,Windward Side,Koolauloa,Oahu,United States,US,False,Point,21.6217,-157.91711
Tai Kok Tsui,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.32324,114.15992
Honolulu,Makiki/Lower Punchbowl/Tantalus,Primary Urban Center,Oahu,United States,US,False,Point,21.30852,-157.84343
Hong Kong,Mid-Levels,Central & Western,Hong Kong,Hong Kong,HK,True,Point,22.28174,114.14919
Rio de Janeiro,Leme,Leme,Rio De Janeiro,Brazil,BR,True,Point,-22.96280897382361,-43.16826706478497
Lahaina,Westside,Lahaina,Maui,United States,US,True,Point,20.86114,-156.66885
Porto,Porto,Cedofeita,Porto,Portugal,PT,True,Point,41.14186,-8.60849
Queens,Long Island City,Long Island City,New York,United States,US,True,Point,40.74771,-73.9474
